cod_provincia;ap03;sector;ambito;ldesemp;mdesemp;lpuntaje;mpuntaje;NSE_nivel
82;1;1;2;4;4;608,82941;668,47150;3
82;1;1;2;3;2;461,48975;439,77808;2
82;1;1;2;1;1;345,93793;376,92786;1
82;1;1;1;1;2;362,00046;421,59460;2
82;1;1;2;1;2;344,80353;454,62619;1
82;1;1;2;2;3;406,37268;561,38226;2
82;1;1;2;4;4;554,05890;620,76135;2
82;1;1;2;4;4;569,95966;692,85199;3
82;1;1;2;2;2;442,65219;417,25601;2
82;1;1;2;1;1;359,87091;371,14441;1
82;1;1;1;3;3;501,79056;526,37683;2
82;1;1;2;3;3;459,50903;557,60480;2
82;1;1;2;3;2;533,37457;464,47021;2
82;1;1;2;4;3;568,04462;583,67175;2
82;1;1;2;3;2;539,54010;447,56696;2
82;1;1;2;3;2;538,04071;448,43048;2
82;1;1;2;3;2;494,51373;453,18027;2
82;1;1;2;3;2;481,68472;460,72256;2
82;1;1;2;3;3;528,28516;470,99979;2
82;1;1;2;2;2;394,08112;414,82516;3
82;1;1;2;2;1;404,07700;396,74240;2
82;1;1;2;3;3;473,75385;515,70667;2
82;1;1;2;2;1;410,43430;374,61514;1
82;1;1;2;2;2;422,78616;450,74997;3
82;1;1;2;2;2;441,73709;441,82892;3
82;1;1;2;4;4;697,04785;601,51941;2
82;1;1;1;1;1;352,49240;398,43997;1
82;1;1;2;3;3;490,53870;532,37799;2
82;1;1;2;3;2;499,50952;440,99945;2
82;1;1;2;1;4;275,41891;632,54492;1
82;1;1;2;3;3;458,45807;555,77856;2
82;1;1;2;4;4;562,27557;606,94403;2
82;1;1;2;1;3;367,47675;476,30545;2
82;1;1;2;1;3;353,64810;484,93521;1
82;1;1;2;1;1;373,95490;358,95563;1
82;1;1;2;3;3;506,03439;541,03833;2
82;1;1;2;3;3;507,21225;492,01407;1
82;1;1;2;3;1;474,50012;388,07938;2
82;1;1;1;1;2;380,20123;437,91022;1
82;1;1;2;2;3;425,67627;481,91635;1
82;1;1;2;3;1;453,78732;363,54074;2
82;1;1;2;1;1;361,02319;364,53387;3
82;1;1;2;3;2;546,60480;432,63309;1
82;1;1;2;3;3;472,07776;567,93652;3
82;1;1;2;3;3;505,41110;546,08698;2
82;1;1;2;1;1;342,28241;382,58270;2
82;1;1;2;4;4;607,59564;644,78247;2
82;1;1;2;2;1;401,04514;389,44693;3
82;1;1;2;3;1;469,61099;367,34183;1
82;1;1;1;1;4;380,70419;607,92212;3
82;1;1;2;3;3;467,56458;468,21799;2
82;1;1;2;2;2;392,44781;419,83908;2
82;1;1;2;2;2;412,86795;443,56955;1
82;1;1;2;2;1;401,05984;398,01157;2
82;1;1;2;1;1;365,86807;340,69348;3
82;1;1;2;4;3;612,23090;555,80017;2
82;1;1;2;4;3;568,95135;497,23846;2
82;1;1;2;1;1;330,12097;396,67722;1
82;1;1;2;1;1;286,74243;375,69696;1
82;1;1;2;2;1;427,32471;394,82318;1
82;1;1;2;4;3;576,73767;520,34308;2
82;1;1;2;1;2;380,46402;421,71655;2
82;1;1;2;3;1;477,30685;399,83002;2
82;1;1;2;3;2;450,36508;443,00833;3
82;1;1;2;4;4;549,62195;610,53143;2
82;1;1;2;4;2;558,53998;444,77112;2
82;1;2;2;4;4;592,30347;672,45618;3
82;1;2;2;4;4;630,94904;666,39807;3
82;1;2;2;4;4;626,67230;616,81024;3
82;1;2;2;3;3;505,39505;499,26810;3
82;1;2;2;4;4;640,86755;757,60199;3
82;1;2;2;3;1;507,98328;399,89743;2
82;1;2;2;3;4;485,21735;636,86383;2
82;1;2;2;4;3;679,77545;555,92133;3
82;1;2;2;4;4;640,53363;612,56696;2
82;1;2;2;3;3;456,91968;540,67566;2
82;1;2;2;3;2;491,66284;431,77969;2
82;1;2;2;4;3;553,60638;535,68256;2
82;1;2;2;4;4;615,74481;601,80109;2
82;1;2;2;4;3;562,57892;541,75714;2
82;1;2;2;2;1;413,86136;368,24954;1
82;1;2;2;3;3;471,66498;515,97528;2
82;1;2;2;2;1;396,64648;359,49039;2
82;1;2;2;2;3;433,10709;485,12042;1
82;1;2;2;4;3;621,62024;568,70673;3
82;1;2;2;2;1;389,55051;353,16171;3
82;1;2;2;4;3;585,81720;472,47095;2
82;1;2;2;1;3;379,30515;537,72656;2
82;1;2;2;3;2;478,25989;416,42133;2
82;1;2;2;4;4;560,38495;642,57898;3
82;1;2;2;4;3;548,47803;491,53726;3
82;1;2;2;4;4;644,97943;718,08246;3
82;1;2;2;4;1;630,49835;326,62250;3
82;1;2;2;4;3;586,11017;574,23297;3
82;1;2;2;1;1;285,86911;388,79321;2
82;2;1;2;4;3;576,87933;530,87512;2
82;2;1;2;3;3;448,73865;554,10468;2
82;2;1;2;3;4;542,26263;652,43457;3
82;2;1;2;1;2;363,32809;415,55576;1
82;2;1;2;1;1;352,32562;333,81781;2
82;2;1;1;1;1;286,66968;375,82071;1
82;2;1;2;2;1;441,20538;381,01254;3
82;2;1;2;3;3;493,49954;568,81207;3
82;2;1;2;4;1;587,63763;359,18280;3
82;2;1;1;3;4;520,66779;689,08929;2
82;2;1;2;1;3;381,37036;536,22949;2
82;2;1;2;2;3;426,13361;473,87561;2
82;2;1;2;3;3;542,37225;551,10278;1
82;2;1;1;2;3;426,60846;492,08353;2
82;2;1;2;3;1;448,06943;372,61548;1
82;2;1;2;3;4;536,77002;602,22766;2
82;2;1;2;4;3;573,17432;525,29407;3
82;2;1;2;1;2;374,83289;417,61160;2
82;2;1;2;3;3;528,25714;485,29523;2
82;2;1;2;1;1;363,69937;378,69971;1
82;2;1;2;1;1;386,24265;361,32849;2
82;2;1;2;3;2;542,12213;462,26382;2
82;2;1;2;1;2;330,97015;405,92007;1
82;2;1;2;1;3;310,32150;563,93323;2
82;2;1;2;1;2;346,95081;439,36755;2
82;2;1;2;1;2;368,29980;417,18369;2
82;2;1;2;2;3;445,12442;511,76776;3
82;2;1;2;1;1;300,73401;404,84036;1
82;2;1;2;4;4;563,43353;646,37372;2
82;2;1;2;3;3;537,16742;538,23346;2
82;2;1;2;3;3;502,94580;477,44553;2
82;2;1;2;4;3;682,31573;584,08344;2
82;2;1;2;3;3;496,09354;494,40170;3
82;2;1;2;3;3;508,69135;562,92401;2
82;2;1;2;1;3;277,64645;507,96274;1
82;2;1;2;4;3;553,98163;565,76001;2
82;2;1;2;3;2;498,10629;454,45639;2
82;2;1;1;4;4;567,92493;640,78516;3
82;2;1;2;3;3;471,14624;491,29324;2
